Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Migrating a Web-based application to a service-based system - an experience report,P. Bhallamudi; S. Tilley; A. Sinha,"Department of Computer Sciences, Florida Institute of Technology, USA; College of Business, Florida Institute of Technology, USA; Department of Electrical &amp; Computer Engineering, Carnegie Mellon University, USA",2009 11th IEEE International Symposium on Web Systems Evolution,,2009,,,71,74,"Service-Oriented Architecture (SOA) is a way of designing, developing, deploying, and managing enterprise systems where business needs and technical solutions are closely aligned. Increased return on investment (ROI) is a prime motivating factor for many organizations to migrate their existing systems to ones based on services. This paper details the experience of migrating a traditional Web-based application to a SOA-based system. The paper focuses on the business and technical issues that motivated the migration, but it also describes the advantages of the new service-oriented system in terms of ROI.",1550-4441;1550-4441,978-1-4244-5126-5978-1-4244-5124-1978-1-4244-5126,10.1109/WSE.2009.5630392,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5630392,Service-Oriented Architecture (SOA);Web application;migration;evolution;case study,Business;Service oriented architecture;Web sites;Vehicles;Engines;User interfaces,business data processing;investment;software architecture;Web services,web based application;service based system;service oriented architecture;enterprise system;business need;investment return;application migration;technical issue,,3,4,,,,,,IEEE,IEEE Conferences
Towards intelligent search support for web services evolution identifying the right abstractions,T. Reichherzer; E. El-Sheikh; N. Wilde; L. White; J. Coffey; S. Simmons,"University of West Florida, Pensacola, Florida, USA; University of West Florida, Pensacola, Florida, USA; University of West Florida, Pensacola, Florida, USA; University of West Florida, Pensacola, Florida, USA; University of West Florida, Pensacola, Florida, USA; Department of Computer Science, James Madison University, Harrisonburg, Virginia, USA",2011 13th IEEE International Symposium on Web Systems Evolution (WSE),,2011,,,53,58,"Services Oriented Architecture (SOA) is becoming a popular style for building complex systems-of-systems that allow businesses to work together across organizational boundaries. However concerns have been raised about the comprehensibility and maintainability of SOA composite applications. Integrating and deploying SOA applications requires artifacts in a variety of web-based languages (WSDL, XSD, BPEL, etc.) often produced by code-generation tools. It becomes difficult for a human to discover and understand the dependencies between these artifacts in an existing system. In this paper, we describe ongoing research on using search techniques to facilitate SOA maintenance by allowing users to query collections of artifacts making up a SOA composite application. The main focus in this paper is a case study using our prototype search tool SOAMiner to identify a set of abstractions that extract useful and critical information for maintainers, thereby bridging the heterogeneity of SOA artifacts while opportunistically exploiting their structure. Results of the study indicate that the highest priority abstractions for SOA are datatype summaries, service invocation (calling) relationships, and data usage relationships.",1550-4441,978-1-4577-0700-1978-1-4577-0699,10.1109/WSE.2011.6081819,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6081819,Services Oriented Architecture;SOA;Web Services;Evolution;Maintenance;Program Comprehension;Search,Service oriented architecture;Semiconductor optical amplifiers;Maintenance engineering;XML;Search problems,program compilers;service-oriented architecture;software maintenance;Web services,intelligent search support;Web service evolution;service oriented architecture;SOA composite application;Web-based language;code-generation tool;SOA maintenance;SOAMiner search tool,,2,15,,,,,,IEEE,IEEE Conferences
A Contribution to the Establishment of Reference Architectures for Mobile Learning Environments,N. F. D. Filho; E. F. Barbosa,"Institute of Mathematics and Computer Science, University of São Paulo, São Paulo, Brazil; Institute of Mathematics and Computer Science, University of São Paulo, São Paulo, Brazil",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,,2015,10,4,234,241,"The development and the use of learning environments, coupled with the evolution of mobile computing, have contributed significantly to the establishment of a new learning modality known as mobile learning (m-learning). In this new scenario, the educational environments, despite having many benefits and facilities with regard to teaching and learning, have problems and challenges that need to be addressed. One of the important aspects to be investigated concerns the establishment and adoption of architectural patterns. In fact, most of these environments are built in an isolated form, having their own architectures and structures, which may negatively impact the ability of standardization and support of architectural definition. The main goal of this paper is to investigate and define a service-oriented reference architecture for m-learning environments. The proposed architecture, named Ref-mLearning, aims to contribute to the evolution, reuse, and interoperability of such environments, enabling an increase in quality and cost reduction during their development, due to the use of features provided by service-oriented architecture. Ref-mLearning was also evaluated through qualitative and quantitative aspects: 1) in comparison with a reference architecture model and 2) with the support of specialists. The results showed that the proposed architecture comprises relevant elements with respect to a service-oriented reference architecture.",1932-8540;2374-0132,,10.1109/RITA.2015.2486339,"Brazilian Funding Agencies, such as Fundação de Amparo à Pesquisa do Estado de São Paulo, Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, and Conselho Nacional de Desenvolvimento Científico e Tecnológico; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7293142,Mobile Learning Environments;Reference Architectures;Service-Oriented Architecture (SOA);Mobile learning environments;reference architectures;service-oriented architecture (SOA),Computer architecture;Mobile communication;Service-oriented architecture;Context;Interoperability;Systematics;Mobile handsets,mobile learning;open systems;service-oriented architecture;software reusability;teaching,mobile learning environments;mobile computing;learning modality;m-learning;educational environments;teaching;architectural patterns;service-oriented reference architecture;ref-mlearning;reuse;interoperability;cost reduction;qualitative aspects;quantitative aspects,,2,20,,,,,,IEEE,IEEE Journals & Magazines
Pattern-based customisable transformations for style-based service architecture evolution,A. Ahmad; C. Pahl,"Lero - The Irish Software Eng. Res. Centre, Dublin City Univ., Dublin, Ireland; Lero - The Irish Software Eng. Res. Centre, Dublin City Univ., Dublin, Ireland",2010 International Conference on Computer Information Systems and Industrial Management Applications (CISIM),,2010,,,371,376,"Service-based architecture have now become commonplace, creating the need to address their systematic maintenance and evolution. We propose a layered pattern-based transformation framework to support a stepwise and incremental Service-Oriented Architecture (SOA) evolution. The framework enables higher-level abstract and system-level operational transformation of SOA elements to facilitate architectural evolution. Higher-level transformations are defined by combining the basic transformation operators and transformation patterns. An abstraction layer encapsulates these primitive transformations into declarative user-defined transformation rules. SOA-specific architectural styles are applied to refine the transformed design to complete a style-based SOA evolution. An electronic payment system case study is used to demonstrate the architectural evolution at different abstraction levels.",,978-1-4244-7818-7978-1-4244-7817-0978-1-4244-7816,10.1109/CISIM.2010.5643631,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5643631,Web Services Architecture;Modeling and Transformation;Service Architecture Evolution,Computer architecture;Service oriented architecture;Software;Semantics;Information systems;Business;Computers,electronic money;software architecture,pattern-based customisable transformation framework;style-based service architecture evolution;service-based architecture;higher-level transformations;abstraction layer;declarative user-defined transformation rules;SOA-specific architectural styles;electronic payment system,,1,23,,,,,,IEEE,IEEE Conferences
Migrating from legacy to SoA (Invited Talk),H. M. Sneed,"SoRing Kft., Budapest, Hungary",2015 IEEE 9th International Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Environments (MESOCA),,2015,,,1,6,This presentation discusses a strategy for migrating to a service-oriented architecture. The starting point is legacy code in a procedural or object-oriented language. The result is a set of web services that can be accessed in a private or public cloud. The technique used is to cut out selected portions of code and to wrap them behind a service interface. The code itself can be left in the original language. The service interface is in WSDL. The speaker describes how to go about selecting code for reuse and how to extract that code from its current environment. Case studies are given for the languages COBOL and Java. The presentation then goes on to describe how to test the services using a web service testing tool which generates artificial requests from the service interface definition and validates the responses against the assertions provided by the tester.,2326-6937;2326-6910,978-1-4673-7935-9978-1-4673-7934,10.1109/MESOCA.2015.7328119,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7328119,SoA Migration;Legacy Code;Service extraction;Service wrapping;Interface generation;WSDL;Web-Service testing;Test automation;Test coverage measurement,Unified modeling language;Business;Web services;Object oriented modeling;Wrapping;Testing,cloud computing;Java;service-oriented architecture;software maintenance;Web services,SoA;service-oriented architecture;legacy code;procedural language;object-oriented language;private cloud;public cloud;WSDL;COBOL;Java;Web service testing tool;service interface definition,,,12,,,,,,IEEE,IEEE Conferences
Adaptable Enterprise Architectures for Software Evolution of SmartLife Ecosystems,A. Zimmermann; B. Gonen; R. Schmidt; E. El-Sheikh; S. Bagui; N. Wilde,NA; NA; NA; NA; NA; NA,2014 IEEE 18th International Enterprise Distributed Object Computing Conference Workshops and Demonstrations,,2014,,,316,323,"SmartLife ecosystems are emerging as intelligent user-centered systems that will shape future trends in technology and communication. Biological metaphors of living adaptable ecosystems provide the logical foundation for self-optimizing and self-healing run-time environments for intelligent adaptable business services and related information systems with service-oriented enterprise architectures. The present research in progress work investigates mechanisms for adaptable enterprise architectures for the development of service-oriented ecosystems with integrated technologies like Semantic Technologies, Web Services, Cloud Computing and Big Data Management. With a large and diverse set of ecosystem services with different owners, our scenario of service-based SmartLife ecosystems can pose challenges in their development, and more importantly, for maintenance and software evolution. Our research explores the use of knowledge modeling using ontologies and flexible metamodels for adaptable enterprise architectures to support program comprehension for software engineers during maintenance and evolution tasks of service-based applications. Our previous reference enterprise architecture model ESARC -- Enterprise Services Architecture Reference Cube -- and the Open Group SOA Ontology was extended to support agile semantic analysis, program comprehension and software evolution for a SmartLife applications scenario. The Semantic Browser is a semantic search tool that was developed to provide knowledge-enhanced investigation capabilities for service-oriented applications and their architectures.",2325-6583;2325-6605,978-1-4799-5467,10.1109/EDOCW.2014.52,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6975376,Adaptive Enterprise Reference Architecture;Digital Ecosystems;Service-oriented Architecture;Architecture Integration Method;Ontology;Semantic Search;Software Evolution,Computer architecture;Business;Computational modeling;Cloud computing;Ontologies;Service-oriented architecture;Architecture,Big Data;ecology;environmental science computing;ontologies (artificial intelligence);service-oriented architecture;user centred design;Web services,adaptable enterprise architectures;software evolution;SmartLife ecosystem;intelligent user-centered system;biological metaphors;intelligent adaptable business services;service-oriented enterprise architectures;service-oriented ecosystems development;semantic technologies;Web services;cloud computing;big data management;knowledge modeling;flexible metamodels;ESARC;enterprise services architecture reference cube;open group SOA ontology;semantic browser,,9,48,,,,,,IEEE,IEEE Conferences
WSDarwin: A web application for the support of REST service evolution,M. Fokaefs; M. Oprescu; E. Stroulia,"Department of Computing Science, University of Alberta, Edmonton, Canada; Department of Computing Science, University of Alberta, Edmonton, Canada; Department of Computing Science, University of Alberta, Edmonton, Canada",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),,2015,,,336,338,"REST has become a very popular architectural style for service-oriented systems, primarily due to its ease of use and flexibility. However, the lightweight nature of its syntax does not necessitate the use of systematic methods and tools. In this work, we argue that such tools can greatly facilitate complex engineering tasks, including service discovery and evolution. We present the WSDarwin set of tools to generate WADL interfaces for REST services, to compare service interfaces to identify differences between versions, and to compare service offerings of different vendors to facilitate service discovery and interoperability.",,978-1-4673-7532-0978-1-4673-7531,10.1109/ICSM.2015.7332483,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332483,,Uniform resource locators;Generators;Indexes;Syntactics;Systematics;Service-oriented architecture,open systems;service-oriented architecture;Web services,WSDarwin;Web application;REST service evolution;architectural style;service discovery;WADL interfaces;service interfaces;service interoperability;service-oriented architecture,,,4,,,,,,IEEE,IEEE Conferences
Supporting Change Propagation in the Maintenance and Evolution of Service-Oriented Architectures,H. K. Dam; A. Ghose,NA; NA,2010 Asia Pacific Software Engineering Conference,,2010,,,156,165,"As Service-Oriented Architecture (SOA) continues to be broadly adopted, the maintenance and evolution of service-oriented systems become a growing issue. Maintenance and evolution are inevitable activities since almost all systems that are useful and successful stimulate user-generated requests for change and improvement. A critical issue in the evolution of SOA is change propagation: given a set of primary changes that have been made to the SOA model, what additional secondary changes are needed to maintain consistency across multiple levels of the SOA models. This paper presents how an existing framework can be applied to effectively support change propagation within a SOA model. We also propose to extend this framework with a minimal modification strategy that helps select change options in a manner that accommodates the structural and semantic dimensions of SOA models.",1530-1362;1530-1362;1530-1362,978-1-4244-8831-5978-0-7695-4266,10.1109/APSEC.2010.27,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5693191,Service oriented architecture;maintenance;evolution;change propagation,Maintenance engineering;Service oriented architecture;Unified modeling language;Semiconductor optical amplifiers;Contracts;Computer architecture,service-oriented architecture;software maintenance,change propagation;service-oriented architectures maintenance;user-generated requests;SOA models;semantic dimensions;structural dimensions,,4,29,,,,,,IEEE,IEEE Conferences
7th International Workshop on Principles of Engineering Service-Oriented and Cloud Systems (PESOS 2015),M. A. Babar; H. Paik; M. Chetlur; M. Bauer; A. M. Sharifloo,NA; NA; NA; NA; NA,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,,2015,2,,987,988,"PESOS has established itself as a forum that brings together software engineering researchers and practitioners working in the areas of service-oriented systems to discuss research challenges, new developments and applications, as well as methods, techniques, experiences, and tools to support engineering, evolution and adaptation of service-oriented systems. The technical advances and growing adoption of Cloud computing is creating new challenges for the PESOS the software services community to explore the approaches to better engineer software systems that are designed, developed, operated and governed in the context of the Cloud. We again attracted high-quality submissions on a diverse set of relevant topics such as better approaches to engineering service-based collaborative systems, Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS) models of cloud computing and associated software quality attributes. PESOS 2015 will continue to be the key forum for collecting case studies and artifacts for educators and researchers in this area.",0270-5257;1558-1225,978-1-4799-1934,10.1109/ICSE.2015.318,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203141,Software engineering;software services;collaborative services;cloud computing;cloud services;SOA;service-oriented architecture;service-oriented systems,Conferences;Collaboration;Software as a service;Cloud computing;Service-oriented architecture,,,,,,,,,,,IEEE,IEEE Conferences
Platform based approach for automation of workflows in a system of systems,T. Ploom; A. Glaser; S. Scheit,"Integration Architecture, Credit Suisse AG, Zurich, Switzerland; Architecture IT Core Systems, PostFinance AG, Bern, Switzerland; BPM &amp; Integration Center of Excellence, Telstra Corporation, Melbourne, Australia",2013 IEEE 7th International Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems,,2013,,,12,21,"Automation of workflows has been the focus of much research for more than three decades. There has also been significant research about the evolution of workflows. In this paper we describe how to achieve automation of workflows, not only in a single application but in an entire landscape of applications. How can distinctive types of workflow applications be built in an IT landscape? How can the SOA and BPM perspectives be combined in a very large scale system of systems context? We define a platform based approach for the automation of workflows which is in contrast with the classical single application based approach for workflow automation. Furthermore, we describe the core concepts of our workflow execution platform and provide an overview of the results.",2326-6937;2326-6910,978-1-4673-4889,10.1109/MESOCA.2013.6632730,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6632730,BPM;SOA;system of systems;workflow automation;workflow evolution;workflow classification;human workflow;case management workflow;process orchestration;federated workflow;central workflow,Systems engineering and theory;Automation;Engines;Context;Business;Service-oriented architecture;Semiconductor optical amplifiers,service-oriented architecture;workflow management software,IT landscape;SOA;BPM perspectives;workflow automation;workflow execution platform,,,37,,,,,,IEEE,IEEE Conferences
A distributed service oriented infrastructure for business process management in Virtual Organizations,M. H. Danesh; B. Raahemi; S. M. A. Kamali; G. Richards,"Telfer School of Management, University of Ottawa, IBM Center for Business Analytics and Performance, 55 Laurier Ave E., ON. K1N 6N5 Canada; Telfer School of Management, University of Ottawa, IBM Center for Business Analytics and Performance, 55 Laurier Ave E., ON. K1N 6N5 Canada; Telfer School of Management, University of Ottawa, IBM Center for Business Analytics and Performance, 55 Laurier Ave E., ON. K1N 6N5 Canada; Telfer School of Management, University of Ottawa, IBM Center for Business Analytics and Performance, 55 Laurier Ave E., ON. K1N 6N5 Canada",2012 25th IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),,2012,,,1,6,"Virtual Organizations (VO)-a network of independent organizations collaborating to address specific business opportunities-have become popular in today's technology driven business environment business climate. Although many solutions have been proposed over past two decades to support inter-organizational interactions, VOs still face several challenges due to their dynamic and temporal nature that cannot be addressed by the traditional solutions such as ebXML and EDI. In this paper, we propose a distributed architecture for a flexible infrastructure that supports collaborative business process execution, monitoring and management. The infrastructure supports the common topologies of inter-organizational collaboration (e.g. peer-to-peer, star, linear), and responds well to changes due to its loosely coupled components. The proposed infrastructure is based on federating multiple SOA infrastructures with the Enterprise Service Bus (ESB) as its core. It is implemented using IBM WebSphere products. We demonstrate that the proposed SOA-based virtual organization facilitates flexibility, rapid process integration and dynamic evolution.",0840-7789;0840-7789,978-1-4673-1433-6978-1-4673-1431-2978-1-4673-1432,10.1109/CCECE.2012.6334832,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6334832,Service Oriented Architecture;Enterprise Service Bus;Collaborative Business Process;Virtual Organization,Organizations;Service oriented architecture;Topology;Collaboration;Standards organizations;Monitoring,electronic data interchange;groupware;peer-to-peer computing;service-oriented architecture;virtual enterprises;XML,distributed service oriented infrastructure;independent organization network;business opportunity;technology driven business environment;business climate;interorganizational interaction;ebXML;EDI;distributed architecture;flexible infrastructure;collaborative business process execution;collaborative business process monitoring;collaborative business process management;common topology;interorganizational collaboration;peer-to-peer topology;star topology;linear topology;loosely coupled components;SOA infrastructure;Enterprise Service Bus;ESB;IBM WebSphere product;SOA-based virtual organization;rapid process integration;dynamic evolution,,3,22,,,,,,IEEE,IEEE Conferences
SOA testing perspective model for regression testing,P. Bhuyan; A. Kumar; D. P. Mohapatra,"School of Computer Engineering, KIIT University, Bhubaneswar, Odisha, India; School of Computer Engineering, KIIT University, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, NIT Rourkela, Odisha, India",2013 Nirma University International Conference on Engineering (NUiCONE),,2013,,,1,5,"Service-Oriented Architecture (SOA) supports loose-coupling and interoperability, where services communicate with each-other through message exchanging protocol and interfaces. SOA supports vendor diversity. In order to full-fill the vendor need, service composition is considered as a key process. Regression testing is inevitable to assure the quality of SOA based applications during their evolution. This paper defines a regression testing process which helps us in regression testing of complex SOA based applications. We also propose an SOA testing perspective model. Here we divide SOA testing perspective model into three parts: Service developer perspective, Service tester perspective and Service provider perspective. The Proposed model also focuses on service validity when the service is going to register in the Universal Description and Discovery Integration (UDDI).",2375-1282,978-1-4799-0727-4978-1-4799-0726,10.1109/NUiCONE.2013.6780096,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6780096,SOA;regression testing;testing perspective model,Testing;Service-oriented architecture;Unified modeling language;Business;Conferences,open systems;program testing;service-oriented architecture,service composition;UDDI;Universal Description and Discovery Integration;service validity;service provider perspective;service tester perspective;service developer perspective;vendor diversity;interfaces;message exchanging protocol;interoperability;loose-coupling;regression testing;SOA testing perspective model;service-oriented architecture,,1,20,,,,,,IEEE,IEEE Conferences
Coastal erosion risk assessment of sandy coast based on GIS and RS,D. Ma; A. Feng; S. Wu; P. Li; F. Cai; J. Liu; G. Lei,"First Institute of Oceanography, SOA, Qingdao, China; First Institute of Oceanography, SOA, Qingdao, China; First Institute of Oceanography, SOA, Qingdao, China; First Institute of Oceanography, SOA, Qingdao, China; Third Instrtute of Oceanography SOA, Xiamen, China; Third Instrtute of Oceanography SOA, Xiamen, China; Third Instrtute of Oceanography SOA, Xiamen, China",2011 19th International Conference on Geoinformatics,,2011,,,1,5,"In view of coastal erosion characteristic, the evolution rule, the land or the tidal flat loss as well as the existent risk situation and so on of soft nature key coastal section in our country, we cut in the research from the risk, the vulnerability and the risk-resisting ability. Comprehensively taking into account the overall evaluation natural factor and the human factor, combining with the distinctive quality of seacoast multiplexed system, screening the evaluating indicator, we make certain the evaluating criteria and construct the coastal erosion risk assessment method system, establish the synthesis judgment model. At the same time, taking the QinHuangDao gold coast as the example, we have carried out the coastal erosion risk quantified assessment and drawn up the coastal erosion risk evolution map, analyzed and discussed the coastal erosion disaster risk assessment result, the measure results and the actual basically matched.",2161-0258;2161-024X;2161-024X,978-1-61284-848-8978-1-61284-849-5978-1-61284-847,10.1109/GeoInformatics.2011.5980891,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5980891,coastal erosion;risk graduation;GIS and RS;risk assessment,Sea measurements;Risk management;Hazards;Geology;Indexes;Economics;Gold,disasters;erosion;geographic information systems;remote sensing;risk management,evolution rule;tidal flat loss;risk situation;risk-resisting ability;human factor;seacoast multiplexed system;coastal erosion risk assessment method system;synthesis judgment model;QinHuangDao gold coast;coastal erosion risk quantified assessment;coastal erosion risk evolution map;coastal erosion disaster risk assessment,,2,14,,,,,,IEEE,IEEE Conferences
A modeling: Internetware-based dynamic architecture evolution applying to SOA,J. Wang; Q. Peng; X. Hu,"Science and Technology on Integrated Information System Laboratory, Institute of Software, Chinese Academy of Sciences, Beijing 100190, China; Science and Technology on Integrated Information System Laboratory, Institute of Software, Chinese Academy of Sciences, Beijing 100190, China; Science and Technology on Integrated Information System Laboratory, Institute of Software, Chinese Academy of Sciences, Beijing 100190, China",Proceedings of the 2014 IEEE 18th International Conference on Computer Supported Cooperative Work in Design (CSCWD),,2014,,,100,105,"In response to the challenges for application development, deployment, running and maintenance in an open, dynamic Internet platform, the concept of Internetware came into being. It is a new software architecture, which is flexible to evolution, continuously reactive and adaptive to multiple targets. Internetware is able to perceive dynamic changes from internal or external environment, and then do some static adjustment and dynamic evolution according to functional and nonfunctional index to keep a high customer satisfaction. Concept of SOA (Service-Oriented Architecture) is a business-IT-aligned approach in which applications rely on available services to facilitate business processes. Service requestor can flexibility invoke reusable services provided by service provider. However, if your business change, your application consisting of any services need to add, replace, delete any services. Therefore, you have to modify the configuration file or code. Why we don't apply the mature evolution and self-adaption in Internetware to SOA. Then, changes perceived can drive the changes of application based on SOA and our work is to guide these changes in high-level or business-level rather than work in coding-level. Therefore, this paper presents a CCO model binded the SCA(Service Component Architecture) to provide interfaces, which can be invoked by the evolution system or human being's guidance. Then, the application based on SOA can self-adapt the changes. In order to achieve our ideas, we develop an modeling tool based on C/S, named CCOtool, to present the mechanism.",,978-1-4799-3776,10.1109/CSCWD.2014.6846824,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846824,Internetware;software evolution;Web Services;SOA(Service-Oriented Architecture);SCA(Service Component Architecture),Computer architecture;Service-oriented architecture;Connectors;Business;Calculators,client-server systems;customer satisfaction;Internet;service-oriented architecture;software maintenance,Internetware-based dynamic architecture evolution;SOA;application development;application deployment;application maintenance;dynamic Internet platform;software architecture;dynamic evolution;nonfunctional index;customer satisfaction;service-oriented architecture;business-IT-aligned approach;service requestor;reusable services;configuration file;configuration code;CCO model;SCA;service component architecture;human being guidance;CCOtool,,1,20,,,,,,IEEE,IEEE Conferences
Evolving adaptable service oriented solutions for development through citizen observatory portals,S. Namuye; L. Mutanu,"United States International University, P.O. Box 14634, Nairobi, 00800, Kenya; United States International University, P.O. Box 14634, Nairobi, 00800, Kenya",2016 IST-Africa Week Conference,,2016,,,1,11,"Bridging the digital divide has recently become the primary goals of any developing country as technology is increasingly being linked to development. Many developing countries have set up initiatives that focus on using Information Communication Technology (ICT) to bridge this gap in a visible future. However, a lot still needs to be done in ensuring that ICT solutions are relevant. Service Oriented technology offers a great opportunity to create and provide flexible solutions that can evolve to address changing environmental needs that often hinder the use of ICT for development. Moreover, there is a growing interest in Autonomic Computing Research, which is aimed at addressing the challenges presented by ICT solutions that cannot adapt to the user's environment. In view of this we propose a model for creating adaptable applications through the use of service oriented techniques that can be used for information access.",,978-1-9058-2455-7978-1-5090-1955,10.1109/ISTAFRICA.2016.7530639,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7530639,System Evolution;Service-oriented Architecture;System Adaptation;Mobile Technology;Citizen Observatory,Monitoring;Adaptation models;Prototypes;Government;Computational modeling;Runtime;Observatories,Digital Divide;information retrieval;information technology;portals;service-oriented architecture,adaptable service oriented solutions;citizen observatory portals;digital divide;information communication technology;ICT;service oriented technology;autonomic computing research;information access,,,16,,,,,,IEEE,IEEE Conferences
Research challenges on engineering service-oriented applications,E. Di Nitto; D. Meilander; D. Meiländer; S. Gorlatch; A. Metzger; H. Psaier; S. Dustdar; M. Razavian; D. A. Tamburri; P. Lago,"Politecnico di Milano, Italy; University of Münster, Germany; University of Münster, Germany; University of Münster, Germany; University of Duisburg-Essen, Germany; Technical University of Wien, Austria; Technical University of Wien, Austria; VU University Amsterdam, The Netherlands; VU University Amsterdam, The Netherlands; VU University Amsterdam, The Netherlands",2012 First International Workshop on European Software Services and Systems Research - Results and Challenges (S-Cube),,2012,,,14,20,"This paper focuses on providing an overview of the research challenges that have been identified toward the end of the S-Cube network in the area of service engineering. These challenges concern the need for agility and dynamicity of the development process for service-based applications, the importance of focusing on proper approaches to support migration of legacy application into service-based applications and the role of humans and of teams of humans in service-based applications.",,978-1-4673-1807-5978-1-4673-1806,10.1109/S-Cube.2012.6225500,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6225500,Engineering of service-based applications;agile approaches;self-adaptation;evolution;Agile Service Networks;human-provided services;real-time applications,Humans;Service oriented architecture;Real time systems;Monitoring;Context;Business,service-oriented architecture;software maintenance;software prototyping,service-oriented application;S-Cube network;service engineering;agility;dynamicity;support migration;legacy application;service-based application;agile service network;service-oriented architecture;SOA;software evolution,,1,35,,,,,,IEEE,IEEE Conferences
SOAR: An Extended Model-Based Reasoning for Diagnosing Faults in Service-Oriented Architecture,S. D. Kim; S. H. Chang,NA; NA,2009 Congress on Services - I,,2009,,,54,61,"Service-oriented architecture (SOA) is a cost effective approach to building enterprise applications. SOA reveals non-conventional characteristics of heterogeneity, grid-like distribution, evolvability, and limited visibility. Hence, services management presents non-conventional challenges. Especially, fault diagnosis at runtime is challenging due to the SOA features. Model-based reasoning (MBR) is a formal approach to diagnosing faults, which is based on predicate calculus and term resolution. In this paper, we present SOAR (service-oriented abductive reasoning) which extends the basic MBR to diagnose faults in various SOA components. SOAR provides an enhanced inference capability with state-based and QoS-based reasoning in addition to the basic setting/observation-based reasoning. We propose concrete schemes to formally represent system description, normal behavior, fault model and observations, and reasoning methods to diagnose faults and to determine their causes. In addition, we present a case study of applying SOAR to show how it is applied in practice and how the diagnosis can be conducted in autonomous way.",2378-3818,978-0-7695-3708,10.1109/SERVICES-I.2009.57,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5190756,service oriented architecture;Diagnosis;Model-based Reasoning,Inference mechanisms;Service oriented architecture;Fault diagnosis;Computer science;Costs;Runtime;Concrete;Engines;Buildings;Application software,business data processing;fault diagnosis;inference mechanisms;Web services,SOAR-extended model-based reasoning;fault diagnosis;service-oriented architecture;enterprise application;service-oriented abductive reasoning;QoS-based reasoning;inference capability,,1,10,,,,,,IEEE,IEEE Conferences
A data-focused perspective on SOA and cloud computing: The utility of patterns in redevelopment,P. Aiken,"Virginia Commonwealth University and Data BluePrint, Inc., Montpelier, USA",2011 International Workshop on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems,,2011,,,1,1,"Summary form only given. Cloud, SOA, Client-Server, mini computers, NoSQL, Hadoop ... the list can appear endless. What these various silver bullets have in common is that they promise to help solve business problems and that as IT solutions they often fail to deliver on initial promises. This talk takes a long-term perspective, examining first the original promise of these two complementary technologies and second, relative track records to date. With this background, it is now possible to understand their strengths and weaknesses in context. Two important concepts emerge: (1) in what contexts do these technologies excel, and (2) how can we use this information to make existing SOA and cloud applications more useful - through maintenance - to their respective applications. The talk closes with some open research challenges as well as general architectural guidelines to help guide future maintenance efforts.",2326-6910;2326-6937,978-1-4577-0647-9978-1-4577-0645-5978-1-4577-0646,10.1109/MESOCA.2011.6049031,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6049031,,Educational institutions;Semiconductor optical amplifiers;Maintenance engineering;Context;Organizations;Guidelines,business data processing;cloud computing;service-oriented architecture;software maintenance,SOA;cloud computing;pattern utility;client-server system;mini computers;NoSQL;Hadoop;business problem;IT solutions;software maintenance,,,,,,,,,IEEE,IEEE Conferences
